Copyright 1986-2020 Xilinx, Inc. All Rights Reserved.
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2020.2 (lin64) Build 3064766 Wed Nov 18 09:12:47 MST 2020
| Date         : Wed Aug 20 19:19:13 2025
| Host         : u20-VirtualBox running 64-bit Ubuntu 20.04 LTS
| Command      : report_utilization -hierarchical -file /home/u20/chipyard/fpga/generated-src/chipyard.fpga.arty.Arty35THarness.ServArtyConfig/obj/report/utilization.txt
| Design       : Arty35THarness
| Device       : 7a35ticsg324-1L
| Design State : Physopt postRoute
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+---------------------------------------------------------+--------------------------------------------------------+------------+------------+---------+------+------+--------+--------+------------+
|                         Instance                        |                         Module                         | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs | RAMB36 | RAMB18 | DSP Blocks |
+---------------------------------------------------------+--------------------------------------------------------+------------+------------+---------+------+------+--------+--------+------------+
| Arty35THarness                                          |                                                  (top) |       7033 |       6201 |     832 |    0 | 3919 |      2 |      0 |          0 |
|   (Arty35THarness)                                      |                                                  (top) |          0 |          0 |       0 |    0 |    0 |      2 |      0 |          0 |
|   chiptop0                                              |                                                ChipTop |       7033 |       6201 |     832 |    0 | 3918 |      0 |      0 |          0 |
|     (chiptop0)                                          |                                                ChipTop |         15 |         15 |       0 |    0 |    1 |      0 |      0 |          0 |
|     debug_reset_syncd_debug_reset_sync                  |                AsyncResetSynchronizerShiftReg_w1_d3_i0 |          1 |          1 |       0 |    0 |    3 |      0 |      0 |          0 |
|       output_chain                                      |       AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_60 |          1 |          1 |       0 |    0 |    3 |      0 |      0 |          0 |
|     dmactiveAck_dmactiveAck                             |                     ResetSynchronizerShiftReg_w1_d3_i0 |          0 |          0 |       0 |    0 |    3 |      0 |      0 |          0 |
|       output_chain                                      |       InferredResetSynchronizerPrimitiveShiftReg_d3_i0 |          0 |          0 |       0 |    0 |    3 |      0 |      0 |          0 |
|     gated_clock_debug_clock_gate                        |                                           EICG_wrapper |          1 |          1 |       0 |    0 |    1 |      0 |      0 |          0 |
|     system                                              |                                             DigitalTop |       7020 |       6188 |     832 |    0 | 3910 |      0 |      0 |          0 |
|       (system)                                          |                                             DigitalTop |          8 |          8 |       0 |    0 |   10 |      0 |      0 |          0 |
|       cbus                                              |                                      PeripheryBus_cbus |       2928 |       2724 |     204 |    0 |  470 |      0 |      0 |          0 |
|         (cbus)                                          |                                      PeripheryBus_cbus |          0 |          0 |       0 |    0 |    6 |      0 |      0 |          0 |
|         atomics                                         |                                  TLAtomicAutomata_cbus |        301 |        301 |       0 |    0 |  200 |      0 |      0 |          0 |
|         buffer                                          |                                 TLBuffer_a29d64s4k1z4u |        341 |        205 |     136 |    0 |    6 |      0 |      0 |          0 |
|           nodeIn_d_q                                    |                         Queue2_TLBundleD_a29d64s4k1z4u |        149 |         93 |      56 |    0 |    3 |      0 |      0 |          0 |
|             (nodeIn_d_q)                                |                         Queue2_TLBundleD_a29d64s4k1z4u |          3 |          3 |       0 |    0 |    3 |      0 |      0 |          0 |
|             ram_ext                                     |                                            ram_2x80_59 |        146 |         90 |      56 |    0 |    0 |      0 |      0 |          0 |
|           nodeOut_a_q                                   |                         Queue2_TLBundleA_a29d64s4k1z4u |        192 |        112 |      80 |    0 |    3 |      0 |      0 |          0 |
|             (nodeOut_a_q)                               |                         Queue2_TLBundleA_a29d64s4k1z4u |          2 |          2 |       0 |    0 |    3 |      0 |      0 |          0 |
|             ram_ext                                     |                                              ram_2x116 |        190 |        110 |      80 |    0 |    0 |      0 |      0 |          0 |
|         coupler_to_bootrom                              |                  TLInterconnectCoupler_cbus_to_bootrom |        662 |        662 |       0 |    0 |   30 |      0 |      0 |          0 |
|           fragmenter                                    |                                   TLFragmenter_BootROM |        662 |        662 |       0 |    0 |   30 |      0 |      0 |          0 |
|             (fragmenter)                                |                                   TLFragmenter_BootROM |          4 |          4 |       0 |    0 |    9 |      0 |      0 |          0 |
|             repeater                                    |                       Repeater_TLBundleA_a17d64s4k1z3u |        658 |        658 |       0 |    0 |   21 |      0 |      0 |          0 |
|         coupler_to_clint                                |                    TLInterconnectCoupler_cbus_to_clint |        120 |        120 |       0 |    0 |   33 |      0 |      0 |          0 |
|           fragmenter                                    |                                     TLFragmenter_CLINT |        120 |        120 |       0 |    0 |   33 |      0 |      0 |          0 |
|             (fragmenter)                                |                                     TLFragmenter_CLINT |          3 |          3 |       0 |    0 |    9 |      0 |      0 |          0 |
|             repeater                                    |                       Repeater_TLBundleA_a26d64s4k1z3u |        117 |        117 |       0 |    0 |   24 |      0 |      0 |          0 |
|         coupler_to_debug                                |                    TLInterconnectCoupler_cbus_to_debug |       1103 |       1103 |       0 |    0 |   38 |      0 |      0 |          0 |
|           fragmenter                                    |                                     TLFragmenter_Debug |       1103 |       1103 |       0 |    0 |   38 |      0 |      0 |          0 |
|             (fragmenter)                                |                                     TLFragmenter_Debug |          3 |          3 |       0 |    0 |    9 |      0 |      0 |          0 |
|             repeater                                    |                       Repeater_TLBundleA_a12d64s4k1z3u |       1100 |       1100 |       0 |    0 |   29 |      0 |      0 |          0 |
|         coupler_to_plic                                 |                     TLInterconnectCoupler_cbus_to_plic |         34 |         34 |       0 |    0 |   43 |      0 |      0 |          0 |
|           fragmenter                                    |                                      TLFragmenter_PLIC |         34 |         34 |       0 |    0 |   43 |      0 |      0 |          0 |
|             (fragmenter)                                |                                      TLFragmenter_PLIC |          6 |          6 |       0 |    0 |    9 |      0 |      0 |          0 |
|             repeater                                    |                       Repeater_TLBundleA_a28d64s4k1z3u |         28 |         28 |       0 |    0 |   34 |      0 |      0 |          0 |
|         coupler_to_prci_ctrl                            |                TLInterconnectCoupler_cbus_to_prci_ctrl |         67 |         27 |      40 |    0 |   18 |      0 |      0 |          0 |
|           buffer                                        |                                 TLBuffer_a21d64s4k1z3u |         52 |         12 |      40 |    0 |    6 |      0 |      0 |          0 |
|             nodeIn_d_q                                  |                         Queue2_TLBundleD_a21d64s4k1z3u |         18 |          6 |      12 |    0 |    3 |      0 |      0 |          0 |
|               (nodeIn_d_q)                              |                         Queue2_TLBundleD_a21d64s4k1z3u |          3 |          3 |       0 |    0 |    3 |      0 |      0 |          0 |
|               ram_ext                                   |                                            ram_2x79_58 |         15 |          3 |      12 |    0 |    0 |      0 |      0 |          0 |
|             nodeOut_a_q                                 |                         Queue2_TLBundleA_a21d64s4k1z3u |         34 |          6 |      28 |    0 |    3 |      0 |      0 |          0 |
|               (nodeOut_a_q)                             |                         Queue2_TLBundleA_a21d64s4k1z3u |          2 |          2 |       0 |    0 |    3 |      0 |      0 |          0 |
|               ram_ext                                   |                                              ram_2x107 |         33 |          5 |      28 |    0 |    0 |      0 |      0 |          0 |
|           fixer                                         |                                          TLFIFOFixer_3 |         15 |         15 |       0 |    0 |   12 |      0 |      0 |          0 |
|         fixer                                           |                                          TLFIFOFixer_2 |         28 |         28 |       0 |    0 |   25 |      0 |      0 |          0 |
|         in_xbar                                         |                     TLXbar_cbus_in_i2_o1_a29d64s4k1z4u |         36 |         36 |       0 |    0 |   13 |      0 |      0 |          0 |
|         out_xbar                                        |                    TLXbar_cbus_out_i1_o7_a29d64s4k1z4u |        156 |        156 |       0 |    0 |   22 |      0 |      0 |          0 |
|         wrapped_error_device                            |                                     ErrorDeviceWrapper |         85 |         57 |      28 |    0 |   36 |      0 |      0 |          0 |
|           buffer                                        |                                 TLBuffer_a14d64s4k1z4u |         47 |         19 |      28 |    0 |    6 |      0 |      0 |          0 |
|             nodeIn_d_q                                  |                         Queue2_TLBundleD_a14d64s4k1z4u |         32 |         16 |      16 |    0 |    3 |      0 |      0 |          0 |
|               (nodeIn_d_q)                              |                         Queue2_TLBundleD_a14d64s4k1z4u |          5 |          5 |       0 |    0 |    3 |      0 |      0 |          0 |
|               ram_ext                                   |                                               ram_2x80 |         28 |         12 |      16 |    0 |    0 |      0 |      0 |          0 |
|             nodeOut_a_q                                 |                         Queue2_TLBundleA_a14d64s4k1z4u |         15 |          3 |      12 |    0 |    3 |      0 |      0 |          0 |
|               (nodeOut_a_q)                             |                         Queue2_TLBundleA_a14d64s4k1z4u |          3 |          3 |       0 |    0 |    3 |      0 |      0 |          0 |
|               ram_ext                                   |                                              ram_2x101 |         12 |          0 |      12 |    0 |    0 |      0 |      0 |          0 |
|           error                                         |                                                TLError |         38 |         38 |       0 |    0 |   30 |      0 |      0 |          0 |
|             (error)                                     |                                                TLError |         10 |         10 |       0 |    0 |   18 |      0 |      0 |          0 |
|             a_q                                         |                         Queue1_TLBundleA_a14d64s4k1z4u |         28 |         28 |       0 |    0 |   12 |      0 |      0 |          0 |
|       chipyard_prcictrl_domain                          |                        ChipyardPRCICtrlClockSinkDomain |         90 |         90 |       0 |    0 |   60 |      0 |      0 |          0 |
|         clock_gater                                     |                                         TileClockGater |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|           regs_0                                        |                                 AsyncResetRegVec_w1_i1 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|         fragmenter                                      |                            TLFragmenter_TileClockGater |         36 |         36 |       0 |    0 |   29 |      0 |      0 |          0 |
|           (fragmenter)                                  |                            TLFragmenter_TileClockGater |          4 |          4 |       0 |    0 |    9 |      0 |      0 |          0 |
|           repeater                                      |                    Repeater_TLBundleA_a21d64s4k1z3u_57 |         33 |         33 |       0 |    0 |   20 |      0 |      0 |          0 |
|         fragmenter_1                                    |                           TLFragmenter_TileResetSetter |         31 |         31 |       0 |    0 |   20 |      0 |      0 |          0 |
|           (fragmenter_1)                                |                           TLFragmenter_TileResetSetter |          3 |          3 |       0 |    0 |    9 |      0 |      0 |          0 |
|           repeater                                      |                       Repeater_TLBundleA_a21d64s4k1z3u |         28 |         28 |       0 |    0 |   11 |      0 |      0 |          0 |
|         resetSynchronizer                               |                            ClockGroupResetSynchronizer |          3 |          3 |       0 |    0 |    3 |      0 |      0 |          0 |
|           nodeOut_member_allClocks_uncore_reset_catcher |                                   ResetCatchAndSync_d3 |          3 |          3 |       0 |    0 |    3 |      0 |      0 |          0 |
|             io_sync_reset_chain                         |             AsyncResetSynchronizerShiftReg_w1_d3_i0_55 |          3 |          3 |       0 |    0 |    3 |      0 |      0 |          0 |
|               output_chain                              |       AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_56 |          3 |          3 |       0 |    0 |    3 |      0 |      0 |          0 |
|         xbar                                            |                     TLXbar_prcibus_i1_o2_a21d64s4k1z3u |         20 |         20 |       0 |    0 |    7 |      0 |      0 |          0 |
|       clint_domain                                      |                                   CLINTClockSinkDomain |          2 |          2 |       0 |    0 |  130 |      0 |      0 |          0 |
|         clint                                           |                                                  CLINT |          2 |          2 |       0 |    0 |  129 |      0 |      0 |          0 |
|         intsource                                       |                             IntSyncCrossingSource_n1x2 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|           reg_0                                         |                                 AsyncResetRegVec_w2_i0 |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|       dtm                                               |                               DebugTransportModuleJTAG |        105 |        105 |       0 |    0 |  167 |      0 |      0 |          0 |
|         (dtm)                                           |                               DebugTransportModuleJTAG |         10 |         10 |       0 |    0 |   46 |      0 |      0 |          0 |
|         dmiAccessChain                                  | CaptureUpdateChain_DMIAccessCapture_To_DMIAccessUpdate |          9 |          9 |       0 |    0 |   41 |      0 |      0 |          0 |
|         dtmInfoChain                                    |                  CaptureUpdateChain_DTMInfo_To_DTMInfo |          0 |          0 |       0 |    0 |   32 |      0 |      0 |          0 |
|         tapIO_bypassChain                               |                                        JtagBypassChain |          0 |          0 |       0 |    0 |    1 |      0 |      0 |          0 |
|         tapIO_controllerInternal                        |                                      JtagTapController |         87 |         87 |       0 |    0 |   15 |      0 |      0 |          0 |
|           (tapIO_controllerInternal)                    |                                      JtagTapController |          3 |          3 |       0 |    0 |    6 |      0 |      0 |          0 |
|           irChain                                       |                      CaptureUpdateChain_UInt5_To_UInt5 |          2 |          2 |       0 |    0 |    5 |      0 |      0 |          0 |
|           stateMachine                                  |                                       JtagStateMachine |         82 |         82 |       0 |    0 |    4 |      0 |      0 |          0 |
|         tapIO_idcodeChain                               |                          CaptureChain_JTAGIdcodeBundle |          0 |          0 |       0 |    0 |   32 |      0 |      0 |          0 |
|       fbus_buffer                                       |                                 TLBuffer_a31d64s1k1z4u |        143 |         11 |     132 |    0 |    6 |      0 |      0 |          0 |
|         nodeIn_d_q                                      |                         Queue2_TLBundleD_a31d64s1k1z4u |         57 |          5 |      52 |    0 |    3 |      0 |      0 |          0 |
|           (nodeIn_d_q)                                  |                         Queue2_TLBundleD_a31d64s1k1z4u |          5 |          5 |       0 |    0 |    3 |      0 |      0 |          0 |
|           ram_ext                                       |                                               ram_2x77 |         53 |          1 |      52 |    0 |    0 |      0 |      0 |          0 |
|         nodeOut_a_q                                     |                         Queue2_TLBundleA_a31d64s1k1z4u |         86 |          6 |      80 |    0 |    3 |      0 |      0 |          0 |
|           (nodeOut_a_q)                                 |                         Queue2_TLBundleA_a31d64s1k1z4u |          3 |          3 |       0 |    0 |    3 |      0 |      0 |          0 |
|           ram_ext                                       |                                              ram_2x122 |         83 |          3 |      80 |    0 |    0 |      0 |      0 |          0 |
